# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 7:35:31 AM GMT-04:00 DST to
# Tuesday, June 23, 2020 11:02:53 PM GMT-04:00 DST
# Interruption Tuesday, June 23, 2020 1:43:17 PM GMT-04:00 DST to Tuesday, June 23, 2020 3:16:55 PM GMT-04:00 DST to 
# 4041 samples
#
[1592831913.004629] 1.1.1.1 : [206], 84 bytes, 32.4 ms (34.2 avg, 0% loss)
[1592831943.017242] 1.1.1.1 : [207], 84 bytes, 40.5 ms (34.2 avg, 0% loss)
[1592831973.021322] 1.1.1.1 : [208], 84 bytes, 39.9 ms (34.2 avg, 0% loss)
[1592832003.013830] 1.1.1.1 : [209], 84 bytes, 32.1 ms (34.2 avg, 0% loss)
[1592832033.018086] 1.1.1.1 : [210], 84 bytes, 32.2 ms (34.2 avg, 0% loss)
[1592832063.019565] 1.1.1.1 : [211], 84 bytes, 32.0 ms (34.2 avg, 0% loss)
[1592832093.022486] 1.1.1.1 : [212], 84 bytes, 32.6 ms (34.2 avg, 0% loss)
[1592832123.028857] 1.1.1.1 : [213], 84 bytes, 34.2 ms (34.2 avg, 0% loss)
[1592832153.031774] 1.1.1.1 : [214], 84 bytes, 33.8 ms (34.2 avg, 0% loss)
[1592832183.034398] 1.1.1.1 : [215], 84 bytes, 33.2 ms (34.2 avg, 0% loss)
[1592832213.035207] 1.1.1.1 : [216], 84 bytes, 32.2 ms (34.2 avg, 0% loss)
[1592832243.040141] 1.1.1.1 : [217], 84 bytes, 35.3 ms (34.2 avg, 0% loss)
[1592832273.040259] 1.1.1.1 : [218], 84 bytes, 32.8 ms (34.2 avg, 0% loss)
[1592832303.045884] 1.1.1.1 : [219], 84 bytes, 32.8 ms (34.2 avg, 0% loss)
[1592832333.052273] 1.1.1.1 : [220], 84 bytes, 32.8 ms (34.2 avg, 0% loss)
[1592832363.054269] 1.1.1.1 : [221], 84 bytes, 31.9 ms (34.2 avg, 0% loss)
[1592832393.056558] 1.1.1.1 : [222], 84 bytes, 31.8 ms (34.2 avg, 0% loss)
[1592832423.058073] 1.1.1.1 : [223], 84 bytes, 32.8 ms (34.1 avg, 0% loss)
[1592832453.060892] 1.1.1.1 : [224], 84 bytes, 33.2 ms (34.1 avg, 0% loss)
[1592832483.064601] 1.1.1.1 : [225], 84 bytes, 32.8 ms (34.1 avg, 0% loss)
[1592832513.066521] 1.1.1.1 : [226], 84 bytes, 31.7 ms (34.1 avg, 0% loss)
[1592832543.069958] 1.1.1.1 : [227], 84 bytes, 32.7 ms (34.1 avg, 0% loss)
[1592832573.070551] 1.1.1.1 : [228], 84 bytes, 32.6 ms (34.1 avg, 0% loss)
[1592832603.075741] 1.1.1.1 : [229], 84 bytes, 33.2 ms (34.1 avg, 0% loss)
[1592832633.080551] 1.1.1.1 : [230], 84 bytes, 34.3 ms (34.1 avg, 0% loss)
[1592832663.079485] 1.1.1.1 : [231], 84 bytes, 32.8 ms (34.1 avg, 0% loss)
[1592832693.081587] 1.1.1.1 : [232], 84 bytes, 32.1 ms (34.1 avg, 0% loss)
[1592832723.083057] 1.1.1.1 : [233], 84 bytes, 33.5 ms (34.1 avg, 0% loss)
[1592832753.082159] 1.1.1.1 : [234], 84 bytes, 32.1 ms (34.1 avg, 0% loss)
[1592832783.093848] 1.1.1.1 : [235], 84 bytes, 40.1 ms (34.1 avg, 0% loss)
[1592832813.087440] 1.1.1.1 : [236], 84 bytes, 31.8 ms (34.1 avg, 0% loss)
[1592832843.090441] 1.1.1.1 : [237], 84 bytes, 34.5 ms (34.1 avg, 0% loss)
[1592832873.088016] 1.1.1.1 : [238], 84 bytes, 32.0 ms (34.1 avg, 0% loss)
[1592832903.089690] 1.1.1.1 : [239], 84 bytes, 33.6 ms (34.1 avg, 0% loss)
[1592832933.090120] 1.1.1.1 : [240], 84 bytes, 32.5 ms (34.1 avg, 0% loss)
[1592832963.093252] 1.1.1.1 : [241], 84 bytes, 35.1 ms (34.1 avg, 0% loss)
[1592832993.090113] 1.1.1.1 : [242], 84 bytes, 31.8 ms (34.1 avg, 0% loss)
[1592833023.090930] 1.1.1.1 : [243], 84 bytes, 31.7 ms (34.1 avg, 0% loss)
[1592833053.099950] 1.1.1.1 : [244], 84 bytes, 36.1 ms (34.1 avg, 0% loss)
[1592833083.099210] 1.1.1.1 : [245], 84 bytes, 32.0 ms (34.1 avg, 0% loss)
[1592833113.102241] 1.1.1.1 : [246], 84 bytes, 31.7 ms (34.1 avg, 0% loss)
[1592833143.107095] 1.1.1.1 : [247], 84 bytes, 33.4 ms (34.1 avg, 0% loss)
[1592833173.110716] 1.1.1.1 : [248], 84 bytes, 32.1 ms (34.1 avg, 0% loss)
[1592833203.112356] 1.1.1.1 : [249], 84 bytes, 32.7 ms (34.0 avg, 0% loss)
[1592833233.116009] 1.1.1.1 : [250], 84 bytes, 31.7 ms (34.0 avg, 0% loss)
[1592833263.122725] 1.1.1.1 : [251], 84 bytes, 36.6 ms (34.0 avg, 0% loss)
[1592833293.121483] 1.1.1.1 : [252], 84 bytes, 32.1 ms (34.0 avg, 0% loss)
[1592833323.137433] 1.1.1.1 : [253], 84 bytes, 45.2 ms (34.1 avg, 0% loss)
[1592833353.126617] 1.1.1.1 : [254], 84 bytes, 31.8 ms (34.1 avg, 0% loss)
[1592833383.129376] 1.1.1.1 : [255], 84 bytes, 34.4 ms (34.1 avg, 0% loss)
[1592833413.129711] 1.1.1.1 : [256], 84 bytes, 32.5 ms (34.1 avg, 0% loss)
[1592833443.133432] 1.1.1.1 : [257], 84 bytes, 32.3 ms (34.1 avg, 0% loss)
[1592833473.134360] 1.1.1.1 : [258], 84 bytes, 31.4 ms (34.1 avg, 0% loss)
