# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 1:01:51 AM GMT-04:00 DST to 
# Monday, June 22, 2020 7:28:25 AM GMT-04:00 DST
# 775 samples
#
[1592807302.456728] 1.1.1.1 : [173], 84 bytes, 25.4 ms (27.6 avg, 0% loss)
[1592807332.471409] 1.1.1.1 : [174], 84 bytes, 31.2 ms (27.6 avg, 0% loss)
[1592807362.474804] 1.1.1.1 : [175], 84 bytes, 26.9 ms (27.6 avg, 0% loss)
[1592807392.621270] 1.1.1.1 : [176], 84 bytes, 172 ms (28.4 avg, 0% loss)
[1592807422.476995] 1.1.1.1 : [177], 84 bytes, 26.1 ms (28.4 avg, 0% loss)
[1592807452.479627] 1.1.1.1 : [178], 84 bytes, 25.1 ms (28.4 avg, 0% loss)
[1592807482.489422] 1.1.1.1 : [179], 84 bytes, 32.6 ms (28.4 avg, 0% loss)
[1592807512.488199] 1.1.1.1 : [180], 84 bytes, 25.0 ms (28.4 avg, 0% loss)
[1592807542.490564] 1.1.1.1 : [181], 84 bytes, 26.3 ms (28.4 avg, 0% loss)
[1592807572.498235] 1.1.1.1 : [182], 84 bytes, 25.1 ms (28.3 avg, 0% loss)
[1592807602.499228] 1.1.1.1 : [183], 84 bytes, 25.6 ms (28.3 avg, 0% loss)
[1592807632.506070] 1.1.1.1 : [184], 84 bytes, 28.1 ms (28.3 avg, 0% loss)
[1592807662.504659] 1.1.1.1 : [185], 84 bytes, 24.9 ms (28.3 avg, 0% loss)
[1592807692.510757] 1.1.1.1 : [186], 84 bytes, 25.0 ms (28.3 avg, 0% loss)
[1592807722.517327] 1.1.1.1 : [187], 84 bytes, 25.6 ms (28.3 avg, 0% loss)
[1592807752.525713] 1.1.1.1 : [188], 84 bytes, 26.3 ms (28.3 avg, 0% loss)
[1592807782.528587] 1.1.1.1 : [189], 84 bytes, 25.5 ms (28.3 avg, 0% loss)
[1592807812.528556] 1.1.1.1 : [190], 84 bytes, 25.3 ms (28.2 avg, 0% loss)
[1592807842.528225] 1.1.1.1 : [191], 84 bytes, 24.6 ms (28.2 avg, 0% loss)
[1592807872.538532] 1.1.1.1 : [192], 84 bytes, 25.9 ms (28.2 avg, 0% loss)
[1592807902.547698] 1.1.1.1 : [193], 84 bytes, 26.5 ms (28.2 avg, 0% loss)
[1592807932.555469] 1.1.1.1 : [194], 84 bytes, 25.7 ms (28.2 avg, 0% loss)
[1592807962.562950] 1.1.1.1 : [195], 84 bytes, 26.5 ms (28.2 avg, 0% loss)
[1592807992.566131] 1.1.1.1 : [196], 84 bytes, 25.7 ms (28.2 avg, 0% loss)
[1592808022.577382] 1.1.1.1 : [197], 84 bytes, 35.9 ms (28.2 avg, 0% loss)
[1592808052.571859] 1.1.1.1 : [198], 84 bytes, 24.7 ms (28.2 avg, 0% loss)
[1592808082.576339] 1.1.1.1 : [199], 84 bytes, 25.1 ms (28.2 avg, 0% loss)
[1592808112.583811] 1.1.1.1 : [200], 84 bytes, 25.6 ms (28.2 avg, 0% loss)
[1592808142.590127] 1.1.1.1 : [201], 84 bytes, 24.2 ms (28.1 avg, 0% loss)
[1592808172.598871] 1.1.1.1 : [202], 84 bytes, 25.3 ms (28.1 avg, 0% loss)
[1592808202.608307] 1.1.1.1 : [203], 84 bytes, 25.3 ms (28.1 avg, 0% loss)
[1592808232.616357] 1.1.1.1 : [204], 84 bytes, 26.3 ms (28.1 avg, 0% loss)
[1592808262.622038] 1.1.1.1 : [205], 84 bytes, 25.5 ms (28.1 avg, 0% loss)
[1592808292.628696] 1.1.1.1 : [206], 84 bytes, 25.4 ms (28.1 avg, 0% loss)
[1592808322.637580] 1.1.1.1 : [207], 84 bytes, 24.7 ms (28.1 avg, 0% loss)
[1592808352.639717] 1.1.1.1 : [208], 84 bytes, 25.4 ms (28.0 avg, 0% loss)
[1592808382.641896] 1.1.1.1 : [209], 84 bytes, 26.7 ms (28.0 avg, 0% loss)
[1592808412.641668] 1.1.1.1 : [210], 84 bytes, 25.1 ms (28.0 avg, 0% loss)
[1592808442.650313] 1.1.1.1 : [211], 84 bytes, 24.2 ms (28.0 avg, 0% loss)
[1592808472.659869] 1.1.1.1 : [212], 84 bytes, 26.4 ms (28.0 avg, 0% loss)
